GENE	1	2	3
ACADM	20	22	23
ACTA1	0	1	0
AGO3	13	13	17
AGO4	3	1	9
AHCTF1	13	15	6
AHCYL1	12	14	15
AKR1A1	41	31	34
AMIGO1	1	1	3
AMY2B	1	2	0
ANGEL2	6	3	8
ANKRD13C	19	20	10
APH1A	8	8	7
ARF1	57	74	64
ARHGEF2	1	2	2
ARPC5	146	180	151
ARV1	15	8	9
ASCL5	2	0	0
ASH1L	31	37	25
ASH1L-AS1	2	0	4
ATAD3C	0	1	0
ATP13A2	22	30	20
B4GALT3	7	13	10
BCAN	0	0	1
BCAS2	32	25	22
BGLAP	0	1	0
BTBD19	1	0	0
C1orf101	0	0	1
C1orf112	1	0	1
C1orf122	72	73	66
C1orf220	0	0	1
C1orf228	0	0	1
C1orf35	10	8	5
C1orf56	7	2	4
C1orf95	2	0	1
CACHD1	1	3	2
CAPN2	9	13	9
CC2D1B	1	0	0
CCNL2	23	23	15
