geneid	chr	s1	s2
PLCXD1	chrX	276322	303356
GTPBP6	chrX	304529	318819
LINC00685	chrX	320990	321851
PPP2R3B	chrX	333963	386955
AL732314.6	chrX	386980	405579
AL732314.4	chrX	419157	421980
CSF2RA	chrX	1268800	1310381
IL3RA	chrX	1336616	1382689
SLC25A6	chrX	1386152	1392724
LINC00106	chrX	1396427	1399402
ASMTL-AS1	chrX	1401769	1414028
ASMTL	chrX	1403139	1453762
AKAP17A	chrX	1591593	1602514
ASMT	chrX	1615001	1643081
DHRSX	chrX	2219516	2502805
DHRSX-IT1	chrX	2334295	2336410
ZBED1	chrX	2486414	2500967
CD99	chrX	2691179	2741309
XG	chrX	2752050	2815927
GYG2	chrX	2828788	2882820
ARSD	chrX	2903970	2929351
ARSE	chrX	2934632	2968310
MXRA5	chrX	3308565	3346641
PRKX	chrX	3604370	3713608
PRKX-AS1	chrX	3659487	3668192
BX890604.1	chrX	3817528	3843857
FAM239A	chrX	3853010	3882317
NLGN4X	chrX	5840637	6228863
VCX3A	chrX	6533618	6535118
AC097347.1	chrX	6667865	6721544
PUDP	chrX	7048920	7148190
STS	chrX	7219456	7354810
VCX	chrX	7842262	7844143
PNPLA4	chrX	7898247	7927739
AC078960.1	chrX	8007378	8018160
VCX3B	chrX	8464830	8466510
ANOS1	chrX	8528874	8732186
TBL1X	chrX	9463295	9719743
GPR143	chrX	9725346	9786297
SHROOM2	chrX	9786456	9949443
WWC3	chrX	10015562	10144478
WWC3-AS1	chrX	10024842	10038654
CLCN4	chrX	10156945	10237660
MID1	chrX	10445310	10833654
AC073529.1	chrX	10847877	11111141
HCCS	chrX	11111301	11123078
ARHGAP6	chrX	11137543	11665701
MSL3	chrX	11758159	11775753
FRMPD4	chrX	12138466	12724523
PRPS2	chrX	12791355	12824222
TMSB4X	chrX	12975108	12977227
EGFL6	chrX	13569605	13633575
TCEANC	chrX	13653189	13681964
RAB9A	chrX	13689125	13710506
TRAPPC2	chrX	13712244	13734635
OFD1	chrX	13734745	13769353
GPM6B	chrX	13771031	13938638
GEMIN8	chrX	14008279	14029893
GLRA2	chrX	14529298	14731812
FANCB	chrX	14843407	14873069
MOSPD2	chrX	14873441	14922327
ASB9	chrX	15235288	15270467
PIGA	chrX	15319451	15335580
